"user_id.x","status_id","screen_name","is_retweet","media_t.co","lang","name","location","description","protected","followers_count","friends_count","statuses_count","favourites_count","account_created_at","verified","profile_url","cantidad","user_id.y","prob_bot"
705173287740022784,1258037224647593984,"Tad_creme",FALSE,NA,"en","Tad","<U+0001F4CD>Citizen of the world <U+0001F30D>","Terrence Pretzel Liam Nauta Kevin Creme",FALSE,762,418,95413,197,2016-03-02 23:29:48,FALSE,NA,642,"705173287740022786",0.014504789959743
133941838,1257768888294608896,"dr_ibuprofeno",FALSE,NA,"es","Diego Del Piero","Distrito Federal, M<e9>xico","M<e9>dico Pasante Sin Sueldo / Sacastico y Cagado / Me encanta el perreo /Estoy roto pero sanare / Puede que nada de lo que escriba sea real.",FALSE,1815,1057,11584,21882,2010-04-17 01:56:27,FALSE,NA,410,"133941838",0.0248649494279832
1168193089384566784,1257886514773557248,"kmg_paracetamol",FALSE,NA,"in","directed_by_physician","New Delhi","rational, national, political, not 
a true INCian but I strongly believes that Dr. Manmohan Singh was the greatest PM of modern India.",FALSE,15,656,834,2928,2019-09-01 16:05:31,FALSE,NA,382,"1168193089384566784",0.942582078510434
243444186,1257688817768599552,"tad_neo",FALSE,NA,"ja","<U+0001F3BC>B<U+0337>-B<U+0337>o<U+0337>y<U+0337> <U+0337>T<U+0337><U+200C>A<U+0337><U+200C>D<U+0337> (<U+4E2D><U+5C71><U+305F><U+3060><U+3057>)<U+0001F3BB>","<U+6A2A><U+6D5C>","1969<U+5E74><U+7523><U+307E><U+308C><U+306E>B-BOY <U+672C><U+696D> : IT<U+30A4><U+30F3><U+30D5><U+30E9><U+7A3C><U+696D>  <U+662D><U+548C><U+306E><U+30B8><U+30E3><U+30CB><U+30FC><U+30BA><U+7CFB><U+9854> <U+773C><U+93E1><U+3092><U+639B><U+3051><U+308B><U+3068><U+77F3><U+5742><U+6D69><U+4E8C> <U+7279><U+6280>:<U+30AF><U+30E9><U+30C3><U+30B7><U+30C3><U+30AF><U+00B7><U+30F4><U+30A1><U+30A4><U+30AA><U+30EA><U+30F3>(Fluss<U+30B7><U+30F3><U+30D5><U+30A9><U+30CB><U+30AB><U+6240><U+5C5E> @FlussMusic)<U+3001><U+30D8><U+30D3><U+30FC><U+30E1><U+30BF><U+30EB><U+00B7><U+30AE><U+30BF><U+30FC><U+3001><U+30CF><U+30A4><U+30C8><U+30FC><U+30F3><U+30DC><U+30FC><U+30AB><U+30EB><U+3001><U+30AA><U+30FC><U+30DC><U+30A8><U+521D><U+5FC3><U+8005><U+3002> <U+30A2><U+30A4><U+30B3><U+30F3><U+753B><U+2192> 
@kame_rinnesou <U+3055><U+3093>",FALSE,641,839,13696,64586,2011-01-27 01:51:19,FALSE,"https://t.co/VMuqjOFh34",247,"243444186",0.964477144486818
434585942,1256784350965833728,"ReporteNi",FALSE,"https://t.co/d4k9ulJHJX","es","<U+0001F1F3><U+0001F1EE> Reportes Nicas! <U+0001F1F3><U+0001F1EE>","Dudas Preguntas Sugerencias:DM","Reporta u opina en temas de inter<e9>s com<fa>n. Usa @ReporteNi, #ReporteNi o #Reporto* y tu tuit ser<e1> citado. (*) Aplica si usas Nicaragua en tu localizaci<f3>n.",FALSE,30295,10020,568433,6,2011-12-12 02:02:00,FALSE,"https://t.co/x1Pea3hNeX",204,"434585942",0.112421229954962
705173287740022784,1259358532396298240,"Tad_creme",FALSE,NA,"en","Tad","<U+0001F4CD>Citizen of the world <U+0001F30D>","Terrence Pretzel Liam Nauta Kevin Creme",FALSE,770,422,96375,200,2016-03-02 23:29:48,FALSE,NA,178,"705173287740022786",0.014504789959743
4690857870,1258120844485615616,"tad_trad",FALSE,NA,"en","<U+0001F33B>Katherine<U+0001F33B><U+0001F1FB><U+0001F1E6>",NA,"I can<U+0092>t have teenage angst now that I<U+0092>m 19|I can save you if you<U+0092>re drowning but not if you wanna stop being a rad trad|&I<U+0092>m Hungarian not hungry <U+0001F1E8><U+0001F1E6> <U+0001F1ED><U+0001F1FA> <U+0001F1FB><U+0001F1E6>",FALSE,1515,4088,4521,9819,2016-01-01 18:24:41,FALSE,NA,178,"4690857870",0.827333660790731
247204667,1257025909405683712,"iluso1000",FALSE,NA,"es","Iluso","Barcelona, Espa<f1>a",NA,FALSE,88,396,15638,39,2011-02-04 09:25:13,FALSE,NA,176,"247204667",0.932296585834103
1020853662,1258124562400600064,"TAD_bot",FALSE,NA,"ja","<U+7530><U+6238><U+3042><U+308B><U+3042><U+308B>Bot",NA,"<U+4F55><U+3068><U+306A><U+304F><U+4E57><U+308A><U+3067><U+59CB><U+3081><U+305F><U+3053><U+306E>Bot <U+30D5><U+30A9><U+30ED><U+30FC><U+306F><U+3054><U+81EA><U+7531><U+306B> <U+304A><U+5225><U+308C><U+306F><U+30D6><U+30ED><U+30C3><U+30AF><U+3067><U+304A><U+9858><U+3044><U+3057><U+307E><U+3059><U+3002>",FALSE,17,21,89242,1,2012-12-18 23:14:12,FALSE,NA,172,"1020853662",0.987822623216309
195511322,1258267847639199744,"tuneinbrasil",FALSE,NA,"pt","TuneIn Brasil","Brasil","M<fa>sica~Futebol~Not<ed>cias~Debates~Podcasts +100.000 R<e1>dios no Android: https://t.co/uUhDoxhsGY / iOS: https://t.co/TugKrX1m19 & mais de 300 apps e produtos conectados.",FALSE,1046,113,44923,630,2010-09-26 22:13:46,FALSE,"http://t.co/5U5xrEAsg4",167,"195511322",0.0178365722957389
